name,icd10,category,symptoms,risk_factors
Type 2 Diabetes,E11,Chronic,"Polyuria, polydipsia, fatigue","Obesity, sedentary lifestyle"
Hypertension,I10,Chronic,"Headache, dizziness, epistaxis","Obesity, high salt diet, age"
Chronic Kidney Disease,N18,Chronic,"Fatigue, edema, decreased urine output","Diabetes, hypertension"
Heart Failure,I50,Chronic,"Dyspnea, edema, fatigue","Hypertension, CAD, cardiomyopathy"
Atrial Fibrillation,I48,Chronic,"Palpitations, dyspnea, fatigue","Age, hypertension, heart disease"
Coronary Artery Disease,I25,Chronic,"Chest pain, dyspnea, fatigue","Hypertension, diabetes, hyperlipidemia"
Hypothyroidism,E03,Chronic,"Fatigue, weight gain, cold intolerance","Autoimmune disease, radiation"
Hyperlipidemia,E78,Chronic,Usually asymptomatic,"Diet, genetics, obesity"
COPD,J44,Chronic,"Dyspnea, chronic cough, wheezing","Smoking, air pollution"
Asthma,J45,Chronic,"Wheezing, shortness of breath, chest tightness","Allergies, genetics"
Depression,F32,Chronic,"Low mood, anhedonia, fatigue, sleep changes","Genetics, stress, trauma"
Anxiety Disorder,F41,Chronic,"Excessive worry, palpitations, restlessness","Genetics, trauma, stress"
Gout,M10,Chronic,"Acute joint pain, swelling, redness","High purine diet, alcohol, obesity"
Osteoporosis,M81,Chronic,Usually asymptomatic until fracture,"Age, female sex, low calcium intake"
Type 1 Diabetes,E10,Chronic,"Polyuria, polydipsia, weight loss","Autoimmune, genetics"
Peptic Ulcer Disease,K27,Chronic,"Epigastric pain, nausea, bloating","H. pylori, NSAIDs, stress"
Chronic Liver Disease,K74,Chronic,"Jaundice, fatigue, ascites","Alcohol, hepatitis, NASH"
Epilepsy,G40,Chronic,"Seizures, postictal confusion","Head trauma, genetics, brain tumors"
Rheumatoid Arthritis,M05,Chronic,"Joint pain, swelling, morning stiffness","Female sex, genetics"
Peripheral Neuropathy,G60,Chronic,"Numbness, tingling, burning pain","Diabetes, alcohol, chemotherapy"
Pneumonia,J18,Acute,"Fever, cough, dyspnea, chest pain","Immunosuppression, age"
Urinary Tract Infection,N39,Acute,"Dysuria, frequency, urgency","Female sex, catheterization, diabetes"
Acute Myocardial Infarction,I21,Acute,"Chest pain, diaphoresis, dyspnea","CAD, hypertension, diabetes"
Cellulitis,L03,Acute,"Skin redness, warmth, swelling, pain","Skin breach, immunosuppression"
Deep Vein Thrombosis,I82,Acute,"Leg swelling, pain, erythema","Immobility, surgery, malignancy"
